"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Aaron Nichols","ALL","16","Fr","Neb. Wesleyan","American Rivers","INF","31","30","104","129","20","25","4","0","1","14","32","29","12","8","0","5","3","6","0",".240",".363",".308",".671",".067",".324",".302",".225",".093",".008","14.13"
"Aaron Rios","ALL","6","Sr","Western New Eng.","CCC","INF","30","29","101","126","30","31","4","2","0","30","39","14","17","3","3","2","3","7","3",".307",".411",".386",".797",".079",".344",".353",".111",".135",".000","18.35"
"Aaron Shinn","ALL","11","Sr","Mount Aloysius","AMCC","UT","34","30","95","107","16","29","5","0","0","7","34","14","8","3","0","1","1","1","1",".305",".377",".358",".735",".053",".358",".331",".131",".075",".000","13.93"
"Aaron Simmons","ALL","1","So","Wis.-Stevens Point","WIAC","INF","38","38","164","182","43","58","15","8","5","42","104","18","13","2","2","1","4","11","3",".354",".403",".634","1.037",".280",".371",".437",".099",".071",".027","38.31"
"Aaron Singh","ALL","6","Sr","Redlands","SCIAC","INF","40","40","149","185","41","47","9","4","3","21","73","29","21","11","2","2","1","9","0",".315",".432",".490",".922",".174",".370",".401",".157",".114",".016","35.05"
"Aaron Spidell","ALL","9","Jr","Wooster","NCAC","OF","35","17","62","73","13","15","3","0","0","11","18","12","9","0","2","0","2","3","2",".242",".329",".290",".619",".048",".288",".284",".164",".123",".000","6.25"
"Aaron Trattner","ALL","18","So","MSOE","NACC","UT","35","34","124","145","20","28","9","1","0","16","39","22","13","2","4","2","0","4","3",".226",".301",".315",".616",".089",".264",".272",".152",".090",".000","12.77"
"Aaron Weber","ALL","34","Jr","St. Scholastica","UMAC","OF","38","37","142","168","37","53","10","3","3","38","78","20","16","3","7","0","1","15","3",".373",".429",".549",".978",".176",".397",".417",".119",".095",".018","35.26"
"Aaron Williams","ALL","3","Sr","Framingham St.","MASCAC","OF","39","39","136","174","29","40","4","0","1","10","47","27","32","6","0","0","6","16","2",".294",".448",".346",".794",".051",".361",".372",".155",".184",".006","27.01"
"Aaron Wong","ALL","6","Jr","Chapman","SCIAC","INF","56","56","191","227","39","57","14","2","1","29","78","20","15","6","5","10","1","10","4",".298",".359",".408",".767",".110",".320",".323",".088",".066",".004","30.67"
"Aaron Zawadzki","ALL","11","Jr","John Carroll","OAC","INF","38","37","149","174","27","51","4","2","2","41","65","21","16","1","8","0","2","6","1",".342",".391",".436",".827",".094",".366",".359",".121",".092",".011","28.80"
"Abelardo Paz Agudelo","ALL","30","Sr","Concordia Chicago","NACC","UT","30","22","85","101","16","24","6","0","3","17","39","23","5","8","3","0","2","3","4",".282",".366",".459",".825",".176",".339",".361",".228",".050",".030","13.47"
"Adam Baade","ALL","49","Fr","Carroll (WI)","CCIW","UT","36","31","121","136","24","33","3","0","0","12","36","13","9","4","2","0","1","4","3",".273",".338",".298",".636",".025",".300",".291",".096",".066",".000","13.95"
"Adam Berger","ALL","1","Fr","Thomas (ME)","North Atlantic","ss","23","18","55","62","3","7","0","0","0","2","7","13","5","0","0","2","0","0","1",".127",".200",".127",".327",".000",".167",".156",".210",".081",".000","0.27"
"Adam Brown","ALL","8","So","Knox","MWC","INF","27","14","47","61","4","8","0","0","0","3","8","28","10","1","1","2","1","2","0",".170",".322",".170",".492",".000",".400",".242",".459",".164",".000","3.95"
"Adam Cairo","ALL","3","Fr","Edgewood","NACC","LF","36","33","109","123","16","32","3","0","0","13","35","37","7","4","0","3","4","11","1",".294",".358",".321",".679",".028",".444",".303",".301",".057",".000","14.30"
"Adam Cohick","ALL","4","Sr","Lancaster Bible","NEAC","3B","27","25","89","104","13","27","4","0","1","17","34","10","6","5","2","2","0","0","3",".303",".373",".382",".755",".079",".325",".332",".096",".058",".010","13.43"
"Adam Diehl","ALL","18","Sr","JWU (Providence)","Great Northeast","PH/RF","32","28","98","125","25","39","10","2","0","34","53","17","17","7","3","0","1","0","2",".398",".504",".541","1.045",".143",".464",".454",".136",".136",".000","27.04"
"Adam Duarte","ALL","23","Jr","Curry","CCC","INF","32","31","98","107","14","23","5","0","4","20","40","24","6","1","1","1","0","3","4",".235",".283",".408",".691",".173",".268",".300",".224",".056",".037","10.49"
"Adam Duncan","ALL","27","Jr","Bluffton","HCAC","OF","38","37","137","157","21","33","7","1","0","16","42","33","12","4","0","4","2","9","3",".241",".320",".307",".627",".066",".317",".280",".210",".076",".000","14.66"
"Adam Gallagher","ALL","5","Sr","Ithaca","Empire 8","C","40","40","140","164","34","49","12","0","8","35","85","20","18","3","3","0","0","4","2",".350",".427",".607","1.034",".257",".357",".442",".122",".110",".049","34.88"
"Adam Geibel","ALL","1","Fr","Wesleyan (CT)","NESCAC","INF","32","28","110","125","15","32","6","0","1","12","41","3","12","1","1","1","2","1","3",".291",".363",".373",".736",".082",".290",".328",".024",".096",".008","15.07"
"Adam Gonzalez","ALL","8","So","New Rochelle","DIII Independent","P","22","17","25","32","7","7","0","1","0","0","9","5","6","1","0","0","0","2","0",".280",".438",".360",".798",".080",".350",".369",".156",".188",".000","5.43"
"Adam Graham","ALL","17","Fr","MSOE","NACC","OF","31","29","116","124","16","33","6","0","0","21","39","26","7","0","0","1","0","3","3",".284",".325",".336",".661",".052",".367",".294",".210",".056",".000","12.97"
"Adam Jaworski","ALL","20","Jr","Wash. & Jeff.","PAC","INF","28","11","53","58","4","12","1","0","0","6","13","9","4","0","1","0","0","2","0",".226",".276",".245",".521",".019",".267",".238",".155",".069",".000","4.39"
"Adam Kelly","ALL","31","Jr","Keystone","CSAC","OF","10","10","36","38","2","6","3","0","0","2","9","7","2","0","0","0","0","0","1",".167",".211",".250",".461",".083",".207",".207",".184",".053",".000","1.04"
"Adam Kipp","ALL","35","Jr","Juniata","Landmark","P","38","38","130","151","26","43","10","3","3","38","68","15","14","4","3","0","0","0","3",".331",".404",".523",".927",".192",".348",".400",".099",".093",".020","27.01"
"Adam Kock","ALL","11","Jr","Martin Luther","UMAC","SS","16","13","42","45","5","10","1","0","0","1","11","11","3","0","0","0","0","0","1",".238",".289",".262",".551",".024",".323",".252",".244",".067",".000","3.13"
"Adam Kohl","ALL","3","Jr","Johns Hopkins","Centennial","SS","35","25","93","115","23","23","3","1","0","13","28","18","14","5","3","0","1","3","0",".247",".365",".301",".666",".054",".295",".310",".157",".122",".000","13.56"
"Adam Krajewski","ALL","5","So","St. Thomas (MN)","MIAC","C","23","22","68","82","5","18","1","0","0","10","19","17","7","6","1","0","0","0","1",".265",".378",".279",".657",".015",".346",".312",".207",".085",".000","9.30"
"Adam Lamb","ALL","12","Sr","Greenville","SLIAC","P","31","31","71","88","15","23","0","0","0","7","23","8","5","3","2","7","2","5","1",".324",".383",".324",".707",".000",".354",".296",".091",".057",".000","11.03"
"Adam Lovell","ALL","2","Jr","Webster","SLIAC","OF","15","13","45","54","5","14","2","0","0","3","16","7","4","0","1","4","2","6","1",".311",".360",".356",".716",".044",".359",".296",".130",".074",".000","6.49"
"Adam Moore","ALL","44","Jr","Wash. & Jeff.","PAC","1B","42","31","125","141","20","42","7","1","2","27","57","26","11","4","0","1","1","9","0",".336",".407",".456",".863",".120",".412",".381",".184",".078",".014","25.25"
"Adam Mosca","ALL","36","So","SUNY Maritime","Skyline","OF","37","34","114","132","21","34","5","0","2","20","45","23","10","3","2","3","1","11","1",".298",".364",".395",".759",".096",".352",".331",".174",".076",".015","19.16"
"Adam Muzsi","ALL","2","Fr","Western Conn. St.","Little East","OF","11","4","20","27","4","6","0","0","0","4","6","5","4","2","0","1","0","4","0",".300",".462",".300",".762",".000",".400",".353",".185",".148",".000","4.70"
"Adam Paschal","ALL","21","Jr","Anderson (IN)","HCAC","C","30","30","92","121","20","25","5","0","0","9","30","25","21","4","0","4","2","4","1",".272",".427",".326",".753",".054",".373",".343",".207",".174",".000","16.31"
"Adam Santa Cruz","ALL","23","Jr","La Verne","SCIAC","C","42","42","160","190","32","54","10","2","3","44","77","9","16","8","5","1","2","0","4",".338",".413",".481",".894",".144",".333",".388",".047",".084",".016","32.03"
"Adam Schrek","ALL","6","Fr","Susquehanna","Landmark","INF","24","17","70","80","11","20","7","0","2","12","33","10","4","5","1","0","0","1","5",".286",".362",".471",".833",".186",".305",".366",".125",".050",".025","10.46"
"Adam Schwartz","ALL","6","Sr","St. Joseph's (Brkln)","Skyline","SS","35","35","125","146","35","42","5","5","0","11","57","14","14","4","0","3","3","17","1",".336",".420",".456",".876",".120",".378",".380",".096",".096",".000","26.97"
"Adam Simon","ALL","44","Fr","Thiel","PAC","INF","15","6","25","30","8","6","1","1","0","4","9","3","3","1","0","1","0","0","0",".240",".345",".360",".705",".120",".273",".308",".100",".100",".000","3.60"
"Adam Stotler","ALL","11","So","Otterbein","OAC","UT","42","41","128","159","17","33","3","0","1","19","39","33","19","6","3","3","1","3","0",".258",".372",".305",".677",".047",".330",".309",".208",".119",".006","18.97"
"Adam Twitchell","ALL","16","Jr","Anna Maria","Great Northeast","OF","39","37","130","147","20","41","7","0","1","21","51","15","9","5","1","2","1","5","3",".315",".379",".392",".771",".077",".348",".341",".102",".061",".007","20.64"
"Adam Westra","ALL","23","Jr","Martin Luther","UMAC","OF","28","24","85","91","15","26","4","0","0","7","30","15","6","0","0","0","0","2","1",".306",".352",".353",".705",".047",".371",".316",".165",".066",".000","11.47"
"Adam Wilson","ALL","25","Sr","Western Conn. St.","Little East","1B","22","11","48","56","5","9","0","0","0","4","9","9","6","2","0","0","0","0","3",".188",".304",".188",".492",".000",".231",".243",".161",".107",".000","2.63"
