"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"A.J. Bumpass","ALL","22","Sr","Cincinnati","AAC","OF","60","59","217","249","42","63","12","6","8","44","111","51","26","3","3","0","0","6","0",".290",".369",".512",".881",".221",".342",".381",".205",".104",".032","42.90"
"A.J. Fritz","ALL","16","Fr","Evansville","MVC","dh","50","46","174","203","20","35","5","0","6","26","58","37","24","2","2","1","3","0","8",".201",".302",".333",".635",".132",".218",".287",".182",".118",".030","15.59"
"A.J. Kloehn","ALL","17","Sr","Richmond","Atlantic 10","C","22","12","45","57","7","11","0","0","1","4","14","22","7","3","1","1","0","0","2",".244",".375",".311",".686",".067",".435",".316",".386",".123",".018","6.09"
"A.J. Lewis","ALL","12","Jr","Eastern Ky.","OVC","C","54","54","188","239","45","57","10","2","9","49","98","42","33","12","2","4","5","17","3",".303",".434",".521",".955",".218",".345",".411",".176",".138",".038","44.58"
"A.J. Miller","ALL","11","Fr","Oregon","Pac-12","UT","17","3","20","25","5","2","0","0","0","1","2","9","5","0","0","0","0","0","0",".100",".280",".100",".380",".000",".182",".209",".360",".200",".000","0.83"
"A.J. Narcise","ALL","15","Jr","Mount St. Mary's","NEC","PH/RF","25","6","25","30","5","6","3","0","0","2","9","7","2","3","0","0","0","1","1",".240",".367",".360",".727",".120",".333",".334",".233",".067",".000","3.40"
"Aaron Adams","ALL","20","So","Col. of Charleston","CAA","P","6","0","6","7","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0",".167",".286",".167",".453",".000",".200",".226",".143",".143",".000","0.38"
"Aaron Ahn","ALL","3","So","Navy","Patriot","INF","13","3","15","19","2","2","0","0","0","0","2","8","2","1","0","1","0","0","0",".133",".278",".133",".411",".000",".286",".204",".421",".105",".000","0.74"
"Aaron Antonini","ALL","27","Jr","Middle Tenn.","C-USA","C","55","55","210","249","36","55","14","0","8","34","93","28","29","8","1","1","0","2","5",".262",".371",".443",".814",".181",".269",".360",".112",".116",".032","35.32"
"Aaron Barkley","ALL","22","Jr","Mississippi Val.","SWAC","P/C","34","34","123","151","19","29","6","1","0","15","37","17","26","1","1","0","2","2","3",".236",".371",".301",".672",".065",".271",".314",".113",".172",".000","16.06"
"Aaron Beaulaurier","ALL","5","Jr","Rice","C-USA","OF","55","51","166","200","27","31","11","3","1","14","51","64","18","9","2","5","0","5","2",".187",".297",".307",".604",".120",".291",".270",".320",".090",".005","16.70"
"Aaron Campbell","ALL","15","Sr","Austin Peay","OVC","OF","48","34","132","156","28","48","14","0","5","39","77","28","19","1","3","1","4","2","1",".364",".439",".583","1.022",".220",".422",".435",".179",".122",".032","31.12"
"Aaron Chapman","ALL","13","Fr","Purdue Fort Wayne","Summit League","INF","49","42","148","167","19","37","4","2","0","17","45","20","13","2","1","3","2","9","3",".250",".317",".304",".621",".054",".287",".277",".120",".078",".000","16.13"
"Aaron Esparza","ALL","25","Fr","Central Mich.","MAC","INF","12","0","8","15","3","1","0","0","0","3","1","2","6","0","0","1","1","0","0",".125",".500",".125",".625",".000",".167",".335",".133",".400",".000","1.52"
"Aaron Funk","ALL","9","Sr","UT Arlington","Sun Belt","OF","46","33","111","129","18","26","4","1","0","7","32","34","12","3","0","3","1","2","1",".234",".325",".288",".613",".054",".338",".278",".264",".093",".000","11.77"
"Aaron Galvan","ALL","42","Fr","UTRGV","WAC","OF","45","42","137","183","20","32","5","1","0","29","39","40","27","13","3","3","0","0","7",".234",".400",".285",".685",".051",".320",".323",".219",".148",".000","19.80"
"Aaron Goecks","ALL","8","Jr","SIUE","OVC","INF","17","4","25","28","3","7","3","1","0","3","12","9","2","0","0","1","0","0","0",".280",".333",".480",".813",".200",".438",".339",".321",".071",".000","3.88"
"Aaron Hughes","ALL","32","Fr","Ohio St.","Big Ten","INF","4","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000","1.000",".000",".000","-0.11"
"Aaron Husson","ALL","31","So","UMBC","America East","P","16","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.21"
"Aaron Levy","ALL","30","So","Ohio","MAC","INF","51","46","190","224","25","41","6","2","6","29","69","58","28","5","1","0","1","5","5",".216",".330",".363",".693",".147",".276",".314",".259",".125",".027","24.04"
"Aaron McKeithan","ALL","16","Fr","Tulane","AAC","C","14","6","21","27","4","2","1","0","0","2","3","6","5","0","1","0","0","0","2",".095",".259",".143",".402",".048",".125",".208",".222",".185",".000","0.26"
"Aaron Murray","ALL","24","Fr","UMES","MEAC","INF","6","0","5","5","1","2","0","0","0","1","2","1","0","0","0","0","0","0","0",".400",".400",".400",".800",".000",".500",".356",".200",".000",".000","0.85"
"Aaron Palensky","ALL","24","So","Nebraska","Big Ten","OF","56","56","222","264","43","71","11","2","7","35","107","46","30","10","2","0","0","6","2",".320",".420",".482",".902",".162",".374",".398",".174",".114",".027","48.00"
"Aaron Pleschner","ALL","11","Sr","San Jose St.","MWC","INF","51","51","201","239","30","57","7","0","0","18","64","27","23","1","3","11","3","11","9",".284",".355",".318",".673",".035",".322",".293",".113",".096",".000","24.87"
"Aaron Sabato","ALL","19","Fr","North Carolina","ACC","1B","64","61","230","278","47","79","25","1","18","63","160","56","39","8","1","0","1","0","6",".343",".453",".696","1.149",".352",".389",".486",".201",".140",".065","63.30"
"Aaron Schreur","ALL","28","Jr","UMES","MEAC","OF","15","5","26","31","7","3","0","0","1","1","6","11","5","0","0","0","1","1","0",".115",".258",".231",".489",".115",".143",".236",".355",".161",".032","1.42"
"Aaron Schunk","ALL","22","Jr","Georgia","SEC","UT","57","56","230","252","49","78","11","2","15","58","138","29","14","2","6","0","1","3","4",".339",".373",".600",".973",".261",".328",".414",".115",".056",".060","48.74"
"Aaron Simpson","ALL","1","Jr","Ball St.","MAC","OF","57","57","221","267","51","71","10","6","6","44","111","56","34","4","5","3","7","14","2",".321",".413",".502",".915",".181",".396",".393",".210",".127",".022","47.37"
