"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Aaron Steinhart","ALL","36","Fr","Stetson","ASUN","C","10","0","6","11","1","3","0","0","0","1","3","2","2","2","0","1","0","1","0",".500",".700",".500","1.200",".000",".750",".499",".182",".182",".000","3.07"
"Aaron Straker","ALL","21","Jr","Savannah St.","MEAC","OF","31","26","86","99","12","24","6","2","1","12","37","26","10","1","1","1","1","2","1",".279",".357",".430",".787",".151",".383",".343",".263",".101",".010","13.52"
"Aaron Therien","ALL","18","Sr","Duke","ACC","C","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.53"
"Aaron Walters","ALL","11","So","Texas A&M","SEC","C","30","20","71","81","7","14","1","0","0","7","15","16","8","2","0","0","1","0","3",".197",".296",".211",".507",".014",".255",".244",".198",".099",".000","4.03"
"Aaron Yurko","ALL","8","So","George Mason","Atlantic 10","1B","20","13","47","59","5","8","2","0","0","8","10","13","10","0","2","0","0","0","1",".170",".305",".213",".518",".043",".222",".251",".220",".169",".000","3.80"
"Aaron Zavala","ALL","13","Fr","Oregon","Pac-12","UT","43","37","139","160","22","38","9","0","0","17","47","34","17","2","2","0","3","2","5",".273",".356",".338",".694",".065",".355",".315",".213",".106",".000","16.56"
"Aaron Zeidman","ALL","28","Fr","Sacramento St.","WAC","INF","25","10","33","37","9","4","0","0","1","1","7","18","3","1","0","0","2","2","3",".121",".216",".212",".428",".091",".214",".204",".486",".081",".027","-0.35"
"Abraham Sequera","ALL","13","So","North Florida","ASUN","INF","27","25","85","100","13","19","1","0","0","6","20","11","12","0","1","2","0","2","5",".224",".316",".235",".551",".012",".253",".256",".110",".120",".000","6.78"
"Abraham Valdez","ALL","11","Jr","BYU","WCC","C","21","11","52","62","8","15","4","0","1","14","22","14","6","1","1","2","0","0","3",".288",".367",".423",".790",".135",".368",".338",".226",".097",".016","7.56"
"Ace Felder","ALL","2","Sr","Grambling","SWAC","INF","22","15","53","67","7","11","1","0","0","8","12","10","12","1","0","1","1","5","1",".208",".364",".226",".590",".019",".256",".286",".149",".179",".000","6.47"
"Acy Owen","ALL","1","Sr","Tulane","AAC","C","26","18","61","72","6","16","3","0","1","11","22","11","8","2","0","1","0","0","0",".262",".366",".361",".727",".098",".306",".327",".153",".111",".014","9.21"
"Adam Adkins","ALL","24","Sr","New Mexico","MWC","OF","31","17","65","76","12","13","4","1","0","6","19","31","9","0","1","1","0","0","0",".200",".293",".292",".585",".092",".371",".264",".408",".118",".000","6.05"
"Adam Becker","ALL","47","Fr","Oklahoma St.","Big 12","INF","2","0","4","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1",".000",".000",".000",".000",".000",".000",".000",".250",".000",".000","-0.74"
"Adam Brian","ALL","6","Fr","Bradley","MVC","C","2","0","2","2","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","1.000","1.000","1.000","2.000",".000","1.000",".890",".000",".000",".000","1.32"
"Adam Collins","ALL","10","So","Norfolk St.","MEAC","INF","50","49","175","202","30","39","8","2","0","21","51","48","15","6","2","4","4","9","1",".223",".303",".291",".594",".069",".302",".267",".238",".074",".000","17.06"
"Adam Elliott","ALL","4","Jr","Louisville","ACC","P","28","0","3","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000","1.000",".000",".000","-0.33"
"Adam Fogel","ALL","18","Jr","Hawaii","Big West","OF","10","10","41","50","9","11","4","0","2","6","21","12","7","2","0","0","0","1","1",".268",".400",".512",".912",".244",".333",".400",".240",".140",".040","8.27"
"Adam Frank","ALL","23","So","Fairleigh Dickinson","NEC","INF","46","45","179","198","36","65","15","1","3","27","91","31","14","4","1","0","3","8","1",".363",".419",".508",".927",".145",".425",".406",".157",".071",".015","37.55"
"Adam Furnas","ALL","15","So","Bowling Green","MAC","INF","38","30","89","110","10","23","3","0","2","10","32","27","13","3","3","2","1","1","3",".258",".361",".360",".721",".101",".333",".320",".245",".118",".018","12.53"
"Adam Hackenberg","ALL","31","Fr","Clemson","ACC","C","21","9","35","44","6","5","2","0","3","10","16","19","7","1","1","0","0","0","1",".143",".295",".457",".752",".314",".143",".327",".432",".159",".068","4.54"
"Adam Holland","ALL","32","Fr","Rutgers","Big Ten","OF","5","0","5","6","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0",".200",".167",".200",".367",".000",".200",".148",".167",".000",".000","0.18"
"Adam Hussain","ALL","40","Jr","San Diego","WCC","OF","17","5","20","26","6","5","0","0","0","2","5","6","4","2","0","0","0","0","1",".250",".423",".250",".673",".000",".357",".333",".231",".154",".000","2.94"
"Adam Kerner","ALL","12","So","San Diego","WCC","C","51","46","164","194","38","45","12","0","6","33","75","30","18","4","5","3","0","6","7",".274",".351",".457",".808",".183",".293",".346",".155",".093",".031","26.22"
"Adam Lopez","ALL","44","Jr","San Diego","WCC","3B","20","15","48","57","9","9","4","0","0","7","13","8","1","5","3","0","0","0","0",".188",".263",".271",".534",".083",".209",".242",".140",".018",".000","3.82"
"Adam Mitchell","ALL","31","Jr","Louisiana","Sun Belt","OF","9","3","8","12","1","1","0","0","0","0","1","4","1","1","0","2","0","0","0",".125",".300",".125",".425",".000",".250",".192",".333",".083",".000","0.55"
"Adam Oviedo","ALL","5","So","TCU","Big 12","INF","53","51","182","212","30","53","10","3","3","33","78","41","22","5","2","1","3","1","5",".291",".379",".429",".808",".137",".357",".356",".193",".104",".014","29.26"
"Adam Proctor","ALL","28","So","Michigan St.","Big Ten","C","40","29","102","123","19","17","2","0","9","16","46","41","18","2","1","0","0","0","3",".167",".301",".451",".752",".284",".151",".330",".333",".146",".073","13.41"
"Adam Saks","ALL","13","Sr","Cornell","Ivy League","P","26","26","101","120","13","34","9","3","1","11","52","11","14","0","1","4","4","1","1",".337",".414",".515",".929",".178",".367",".390",".092",".117",".008","20.17"
"Adam Smith","ALL","35","Fr","UNCW","CAA","INF","26","11","30","35","3","4","3","0","0","0","7","13","2","0","0","3","0","1","0",".133",".188",".233",".421",".100",".235",".174",".371",".057",".000","0.85"
"Adam Spurlin","ALL","4","Jr","Elon","CAA","INF","55","53","185","218","33","40","8","0","7","20","69","71","27","2","0","4","4","8","1",".216",".322",".373",".695",".157",".308",".308",".326",".124",".032","23.25"
"Adam Tarver","ALL","26","Sr","Nicholls St.","Southland","P","50","43","178","206","26","46","4","0","8","30","74","51","15","11","1","1","0","5","5",".258",".351",".416",".767",".157",".317",".342",".248",".073",".039","27.11"
"Adam Whitacre","ALL","24","Jr","Radford","Big South","OF","48","41","157","185","26","41","6","3","6","25","71","42","18","5","1","4","3","11","1",".261",".354",".452",".806",".191",".318",".347",".227",".097",".032","26.83"
"Adams Torres","ALL","6","So","UCF","AAC","INF","26","13","52","65","4","10","0","0","1","9","13","15","7","1","1","4","0","1","0",".192",".295",".250",".545",".058",".243",".241",".231",".108",".015","5.01"
"Adan Fernandez","ALL","18","So","FIU","C-USA","OF","49","40","136","161","18","25","0","1","5","18","42","42","12","12","1","0","0","3","5",".184",".304",".309",".613",".125",".222",".285",".261",".075",".031","13.51"
"Addison Fugitt","ALL","14","Jr","Southern Ill.","MVC","OF","44","38","122","146","16","29","4","1","1","18","38","46","18","3","2","1","1","17","4",".238",".345",".311",".656",".074",".364",".300",".315",".123",".007","16.49"
"Adley Rutschman","ALL","35","Jr","Oregon St.","Pac-12","C","57","57","185","266","57","76","10","1","17","58","139","38","76","1","4","0","2","0","5",".411",".575",".751","1.326",".341",".440",".548",".143",".286",".064","74.53"
"Adrian Damla","ALL","36","Jr","UC Irvine","Big West","INF","51","46","177","217","25","53","9","0","1","39","65","30","28","10","2","0","0","1","5",".299",".419",".367",".786",".068",".351",".361",".138",".129",".005","31.39"
"Adrian Del Castillo","ALL","44","Fr","Miami (FL)","ACC","C","61","61","236","282","58","78","22","0","12","72","136","24","32","8","6","0","0","3","6",".331",".418",".576",".994",".246",".320",".426",".085",".113",".043","54.67"
"Adrian Garcia","ALL","6","Jr","UC Riverside","Big West","P","7","2","9","9","0","2","0","0","0","1","2","3","0","0","0","0","0","0","0",".222",".222",".222",".444",".000",".333",".198",".333",".000",".000","0.39"
"Adrian Hill","ALL","6","Sr","Delaware St.","MEAC","C","40","38","127","150","16","32","7","2","1","14","46","36","15","4","1","3","0","1","2",".252",".347",".362",".709",".110",".341",".314",".240",".100",".007","17.35"
"Adrian Pena","ALL","32","Jr","UTRGV","WAC","C","5","1","3","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".667",".000",".000","-0.32"
"Adrian Vela","ALL","17","Sr","Northern Colo.","WAC","INF","34","29","120","130","22","34","4","3","5","25","59","19","6","3","0","1","1","3","5",".283",".333",".492",".825",".208",".302",".356",".146",".046",".038","18.14"
"Aharon Modlin","ALL","8","Jr","Pepperdine","WCC","INF","47","45","162","192","27","45","5","0","1","17","53","24","16","5","2","7","0","2","2",".278",".357",".327",".684",".049",".317",".301",".125",".083",".005","22.36"
"Aidan Elias","ALL","28","Fr","Western Ky.","C-USA","OF","24","9","40","46","3","6","0","0","1","1","9","19","2","1","0","3","0","1","0",".150",".209",".225",".434",".075",".250",".188",".413",".043",".022","1.70"
"Aidan Huggins","ALL","6","So","Illinois St.","MVC","SS","61","61","207","246","39","51","8","0","3","27","68","58","28","1","0","10","1","6","7",".246",".339",".329",".668",".082",".329",".293",".236",".114",".012","24.43"
"Aidan Malm","ALL","47","Jr","Long Beach St.","Big West","OF","35","28","103","117","9","29","8","0","2","11","43","17","8","5","1","0","2","2","2",".282",".359",".417",".776",".136",".318",".345",".145",".068",".017","15.17"
"Aiden McMahan","ALL","32","Sr","Southern Ill.","MVC","C","39","37","139","158","17","32","3","1","4","28","49","20","16","1","1","1","1","5","3",".230",".312",".353",".665",".122",".241",".297",".127",".101",".025","16.38"
"AJ Archambo","ALL","21","So","Oral Roberts","Summit League","OF","25","3","3","4","2","0","0","0","0","0","0","2","1","0","0","0","0","0","0",".000",".250",".000",".250",".000",".000",".173",".500",".250",".000","-0.01"
"AJ Curtis","ALL","5","Jr","Cal St. Fullerton","Big West","OF","40","33","129","144","21","41","6","0","1","18","50","29","10","2","1","2","2","3","6",".318",".373",".388",".761",".070",".400",".336",".201",".069",".007","17.90"
"AJ DiFillipo","ALL","17","Jr","Columbia","Ivy League","INF","38","35","123","154","18","23","6","4","1","22","40","29","20","2","5","4","1","4","3",".187",".300",".325",".625",".138",".224",".274",".188",".130",".006","13.39"
"AJ Esperanza","ALL","17","Fr","Cal Poly","Big West","C","5","0","5","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".800",".000",".000","-0.54"
"AJ Holcomb","ALL","13","Fr","High Point","Big South","INF","31","24","87","96","13","21","5","0","4","14","38","27","8","1","0","0","4","1","1",".241",".312",".437",".749",".195",".304",".330",".281",".083",".042","10.23"
"AJ Hrica","ALL","15","Jr","Campbell","Big South","OF","54","51","176","223","30","40","6","1","2","31","54","44","30","10","5","2","6","10","1",".227",".362",".307",".669",".080",".281",".309",".197",".135",".009","24.37"
"AJ Lee","ALL","6","Sr","Maryland","Big Ten","INF","51","51","189","241","38","60","13","0","7","36","94","48","29","16","3","4","3","10","0",".317",".443",".497",".940",".180",".387",".408",".199",".120",".029","45.21"
"AJ Lotsis","ALL","5","Jr","Georgetown","Big East","OF","35","14","62","69","9","15","4","0","4","8","31","24","4","0","1","2","1","1","0",".242",".284",".500",".784",".258",".314",".326",".348",".058",".058","8.48"
"AJ Spencer","ALL","23","Sr","Middle Tenn.","C-USA","P","20","7","25","28","3","4","1","0","0","2","5","10","1","1","0","1","0","0","0",".160",".222",".200",".422",".040",".267",".191",".357",".036",".000","0.87"
"Aj Willoughby","ALL","7","Sr","Kennesaw St.","ASUN","INF","35","23","94","106","12","25","4","0","0","10","29","13","8","1","1","2","1","0","1",".266",".327",".309",".636",".043",".305",".283",".123",".075",".000","10.26"
"AJ Wright","ALL","7","Sr","UMBC","America East","INF","52","52","186","229","41","52","22","2","6","43","96","40","30","9","4","0","2","13","3",".280",".397",".516",".913",".237",".319",".395",".175",".131",".026","39.20"
"Ako Thomas","ALL","4","Sr","Michigan","Big Ten","INF","64","64","225","265","38","60","16","1","2","32","84","48","31","5","1","3","2","2","4",".267",".366",".373",".739",".107",".330",".331",".181",".117",".008","32.45"
"Albert Hsiao","ALL","24","Fr","Washington","Pac-12","C","11","2","14","16","1","1","0","0","0","1","1","5","2","0","0","0","0","0","1",".071",".188",".071",".259",".000",".111",".142",".313",".125",".000","-0.51"
"Aldo Buendia","ALL","6","Jr","UTSA","C-USA","INF","37","29","91","104","11","23","5","0","0","13","28","9","5","3","0","5","1","1","3",".253",".313",".308",".621",".055",".280",".269",".087",".048",".000","8.53"
"Alec Abercrombie","ALL","3","Sr","North Dakota St.","Summit League","OF","11","0","8","9","0","2","0","1","0","2","4","4","1","0","0","0","0","0","0",".250",".333",".500",".833",".250",".500",".356",".444",".111",".000","1.40"
"Alec Arnone","ALL","7","Fr","UC Riverside","Big West","P","51","35","129","149","21","30","7","0","0","11","37","25","18","1","0","1","1","0","7",".233",".331",".287",".618",".054",".288",".285",".168",".121",".000","11.46"
"Alec Brunson","ALL","32","Fr","Purdue Fort Wayne","Summit League","C","49","46","169","188","20","44","10","0","1","18","57","48","15","1","2","1","0","3","6",".260",".321",".337",".658",".077",".352",".294",".255",".080",".005","18.14"
"Alec Burleson","ALL","19","So","East Carolina","AAC","P","64","63","246","276","38","91","23","0","9","61","141","24","14","3","8","5","1","3","9",".370",".399",".573",".972",".203",".371",".407",".087",".051",".033","51.19"
"Alec Cargin","ALL","8","Jr","Wofford","SoCon","C","37","27","96","115","15","23","6","0","1","17","32","27","14","0","0","5","0","3","3",".240",".336",".333",".669",".094",".324",".292",".235",".122",".009","11.45"
"Alec Norton","ALL","6","Sr","Massachusetts","Atlantic 10","3B","42","41","131","162","27","36","12","1","2","8","56","33","17","10","0","4","0","3","5",".275",".399",".427",".826",".153",".354",".362",".204",".105",".012","22.85"
"Alec Paz","ALL","22","Jr","Nicholls St.","Southland","OF","50","46","178","214","25","40","7","1","3","30","58","44","22","8","4","2","2","1","6",".225",".330",".326",".656",".101",".274",".297",".206",".103",".014","19.90"
"Alec Roberts","ALL","29","Fr","Charlotte","C-USA","OF","11","2","12","15","0","2","1","0","0","1","3","4","3","0","0","0","0","1","0",".167",".333",".250",".583",".083",".250",".282",".267",".200",".000","1.39"
"Alec Sanchez","ALL","24","Fr","Florida St.","ACC","INF","40","10","71","79","10","16","1","0","0","6","17","15","7","0","1","0","0","2","1",".225",".291",".239",".530",".014",".281",".246",".190",".089",".000","5.82"
"Alec Smith","ALL","33","Jr","UC Davis","Big West","OF","14","5","21","23","4","5","0","0","0","1","5","2","0","2","0","0","0","1","0",".238",".304",".238",".542",".000",".263",".256",".087",".000",".000","2.02"
"Alec Trela","ALL","29","Jr","Memphis","AAC","INF","55","55","192","242","34","53","15","1","6","32","88","55","38","6","3","3","1","4","4",".276",".406",".458",".864",".182",".351",".378",".227",".157",".025","37.70"
"Alec Wilson","ALL","11","Sr","Stanford","Pac-12","OF","37","13","51","62","8","9","4","0","1","7","16","12","6","2","1","2","3","1","5",".176",".283",".314",".597",".137",".205",".263",".194",".097",".016","2.12"
"Alejandro Aponte","ALL","29","Sr","George Mason","Atlantic 10","INF","54","54","188","216","31","49","6","0","0","21","55","22","21","1","3","3","0","1","10",".261",".333",".293",".626",".032",".290",".283",".102",".097",".000","18.84"
"Alejandro Lara","ALL","10","Jr","UC Davis","Big West","OF","45","39","138","169","32","43","10","0","3","28","62","36","24","5","2","0","1","10","6",".312",".426",".449",".875",".138",".396",".390",".213",".142",".018","27.88"
"Alejandro Toral","ALL","30","So","Miami (FL)","ACC","INF","61","61","215","260","47","63","6","0","24","67","141","68","39","2","4","0","0","1","3",".293",".400",".656","1.056",".363",".307",".445",".262",".150",".092","53.65"
"Alerick Soularie","ALL","1","So","Tennessee","SEC","UT","60","54","196","237","52","70","13","1","11","46","118","39","37","3","0","1","1","8","7",".357",".466",".602","1.068",".245",".404",".460",".165",".156",".046","51.53"
"Alex Alders","ALL","27","Jr","Wright St.","Horizon","OF","42","24","99","116","18","24","9","1","4","20","47","31","11","3","2","1","2","7","3",".242",".330",".475",".805",".232",".303",".346",".267",".095",".034","14.95"
"Alex Amos","ALL","14","Jr","Pittsburgh","ACC","INF","8","6","16","21","2","1","1","0","0","2","2","6","5","0","0","0","0","0","1",".062",".286",".125",".411",".063",".100",".225",".286",".238",".000","0.42"
"Alex Andronica","ALL","2","Jr","Charleston So.","Big South","INF","38","8","30","38","8","4","1","0","0","3","5","15","5","2","0","1","0","2","0",".133",".297",".167",".464",".033",".267",".232",".395",".132",".000","2.25"
"Alex Baeza","ALL","10","So","Hawaii","Big West","INF","49","48","180","211","30","50","7","1","4","27","71","43","23","4","2","2","2","1","1",".278",".368",".394",".762",".117",".341",".339",".204",".109",".019","28.35"
"Alex Baratta","ALL","6","Jr","Binghamton","America East","INF","44","43","163","189","34","58","9","1","3","33","78","24","17","5","3","1","1","4","3",".356",".426",".479",".905",".123",".396",".395",".127",".090",".016","34.27"
"Alex Baumann","ALL","5","Jr","Bucknell","Patriot","C","35","27","92","107","7","20","4","0","1","17","27","21","4","3","6","2","1","2","3",".217",".257",".293",".550",".076",".250",".238",".196",".037",".009","6.69"
"Alex Bello","ALL","33","Fr","South Fla.","AAC","INF","40","30","105","124","19","25","3","0","2","8","34","31","12","2","0","5","3","4","4",".238",".328",".324",".652",".086",".319",".287",".250",".097",".016","10.75"
"Alex Binelas","ALL","13","Fr","Louisville","ACC","INF","59","54","206","243","54","60","14","5","14","59","126","48","27","6","4","0","0","3","4",".291",".383",".612",".995",".320",".311",".421",".198",".111",".058","46.08"
"Alex Brait","ALL","34","Jr","FGCU","ASUN","C","55","55","237","267","48","76","8","1","4","30","98","41","24","4","2","0","0","10","5",".321",".390",".414",".804",".093",".371",".358",".154",".090",".015","41.62"
"Alex Brickman","ALL","42","Jr","Dayton","Atlantic 10","1B","37","36","129","155","14","34","7","0","7","31","62","37","16","6","4","0","2","1","6",".264",".361",".481",".842",".217",".303",".366",".239",".103",".045","20.91"
"Alex Briggs","ALL","13","Sr","LIU Brooklyn","NEC","INF","53","53","207","237","36","57","12","1","4","30","83","36","20","4","6","0","2","5","7",".275",".342",".401",".743",".126",".306",".327",".152",".084",".017","28.59"
"Alex Canty","ALL","6","Jr","Southeast Mo. St.","OVC","INF","17","7","28","37","4","2","0","0","0","0","2","14","8","0","0","1","0","0","1",".071",".278",".071",".349",".000",".143",".197",".378",".216",".000","0.62"
"Alex Carballo","ALL","8","Jr","Kennesaw St.","ASUN","OF","38","31","113","138","23","25","5","0","4","14","42","38","22","1","0","2","2","5","0",".221",".353",".372",".725",".150",".296",".325",".275",".159",".029","16.71"
"Alex Carnegie","ALL","3","Jr","Cornell","Ivy League","INF","32","31","111","124","8","16","2","1","1","18","23","35","6","4","2","1","0","2","2",".144",".211",".207",".418",".063",".195",".193",".282",".048",".008","3.55"
"Alex Cerda","ALL","6","Jr","Manhattan","MAAC","INF","59","59","215","241","27","59","15","0","2","35","80","43","10","15","1","0","0","0","2",".274",".349",".372",".721",".098",".333",".325",".178",".041",".008","29.44"
"Alex Cimaroli","ALL","3","Jr","Wagner","NEC","INF","7","1","8","9","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0",".000",".111",".000",".111",".000",".000",".077",".667",".111",".000","-0.55"
"Alex Clyde","ALL","5","Fr","Seton Hall","Big East","INF","31","24","89","99","4","20","2","1","0","15","24","10","4","2","2","2","0","1","1",".225",".268",".270",".538",".045",".247",".237",".101",".040",".000","7.08"
"Alex Crotty","ALL","17","Jr","Mercer","SoCon","C","54","45","157","179","21","42","10","0","4","22","64","45","14","3","1","4","1","1","0",".268",".337",".408",".745",".140",".349",".323",".251",".078",".022","22.44"
"Alex Davis","ALL","6","Jr","San Jose St.","MWC","INF","28","11","35","44","3","3","1","0","0","1","4","8","7","1","0","1","0","0","2",".086",".256",".114",".370",".029",".111",".195",".182",".159",".000","0.46"
"Alex Dee","ALL","29","Jr","UIC","Horizon","INF","43","39","134","160","17","29","9","0","2","14","44","44","11","7","4","4","1","1","2",".216",".301",".328",".629",".112",".293",".277",".275",".069",".013","13.77"
"Alex Diamantis","ALL","29","Fr","Rider","MAAC","OF","21","11","40","49","8","8","1","1","0","4","11","17","9","0","0","0","1","0","0",".200",".347",".275",".622",".075",".348",".295",".347",".184",".000","4.49"
"Alex Dickinson","ALL","3","Sr","Princeton","Ivy League","C","12","5","22","23","2","2","0","0","1","2","5","11","1","0","0","0","0","0","1",".091",".130",".227",".357",".136",".100",".160",".478",".043",".043","-0.33"
"Alex Dorethy","ALL","22","So","Western Ill.","Summit League","UT","50","46","157","184","25","32","7","0","3","23","48","55","23","1","2","1","0","1","5",".204",".306",".306",".612",".102",".287",".279",".299",".125",".016","14.81"
"Alex Erro","ALL","4","Jr","Northwestern","Big Ten","INF","51","50","211","231","28","68","12","2","4","34","96","27","17","1","2","0","3","8","5",".322",".372",".455",".827",".133",".352",".363",".117",".074",".017","35.31"
