"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Aaron Haughton","ALL","28","Sr","Valdosta St.","Gulf South","C","47","45","147","172","23","43","9","0","3","28","61","35","13","6","2","4","5","2","1",".293",".369",".415",".784",".122",".360",".341",".203",".076",".017","22.46"
"Aaron Head","ALL","7","Fr","Southwest Baptist","Mid-America Intercollegiate","INF","6","0","7","7","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0",".143",".143",".143",".286",".000",".200",".127",".286",".000",".000","-0.07"
"Aaron Hedgepeth","ALL","44","Fr","Mount Olive","Conference Carolinas","1B","38","27","101","124","16","40","6","0","3","25","55","23","16","5","2","0","0","0","2",".396",".492",".545","1.037",".149",".481",".453",".185",".129",".024","27.19"
"Aaron Hill","ALL","2","Sr","AUM","Gulf South","UT","39","9","42","46","6","8","1","0","0","5","9","6","3","0","0","1","0","2","2",".190",".244",".214",".458",".024",".222",".208",".130",".065",".000","1.77"
"Aaron Kim","ALL","20","So","UC San Diego","CCAA","C","49","46","158","198","34","38","10","0","12","40","84","56","29","8","2","1","1","0","5",".241",".381",".532",".913",".291",".283",".393",".283",".146",".061","30.57"
"Aaron Lizarraga","ALL","38","Jr","Chico St.","CCAA","OF","22","7","39","42","3","9","0","0","0","1","9","7","2","1","0","0","1","3","0",".231",".286",".231",".517",".000",".281",".241",".167",".048",".000","3.07"
"Aaron Mann","ALL","45","Fr","Drury","GLVC","INF","52","52","204","233","42","69","12","2","8","55","109","39","21","6","2","0","4","4","2",".338",".412",".534",".946",".196",".384",".412",".167",".090",".034","43.31"
"Aaron McCann","ALL","30","Jr","Cal St. LA","CCAA","1B","17","8","36","42","5","7","1","0","1","4","11","11","5","1","0","0","0","0","0",".194",".310",".306",".616",".111",".250",".285",".262",".119",".024","3.85"
"Aaron Neil","ALL","24","Jr","West Virginia St.","MEC","C","26","13","33","38","5","8","0","0","1","1","11","7","1","4","0","0","0","0","0",".242",".342",".333",".675",".091",".280",".313",".184",".026",".026","4.43"
"Aaron Portee","ALL","24","Sr","Saint Leo","Sunshine State","OF","25","16","57","65","8","13","5","3","0","7","24","18","5","1","1","1","1","1","1",".228",".297",".421",".718",".193",".325",".305",".277",".077",".000","6.75"
"Aaron Previsky","ALL","6","Jr","Cal U (PA)","PSAC","OF","43","22","61","79","22","15","3","0","2","15","24","19","14","2","0","2","2","10","0",".246",".403",".393",".796",".148",".325",".355",".241",".177",".025","12.09"
"Aaron Reardon","ALL","12","Jr","Shorter","Gulf South","OF","39","35","101","124","16","20","1","0","1","5","24","38","14","1","1","7","2","4","0",".198",".299",".238",".537",".040",".302",".240",".306",".113",".008","8.79"
"Aaron Renaud","ALL","9","Fr","Saint Martin's","Great Northwest","DH","51","45","166","189","19","53","11","1","1","26","69","41","19","3","1","0","1","1","3",".319",".397",".416",".813",".096",".416",".363",".217",".101",".005","28.23"
"Aaron Roose","ALL","8","So","Azusa Pacific","PacWest","C","26","10","34","45","7","6","1","1","0","3","9","4","6","2","0","3","0","1","1",".176",".333",".265",".598",".088",".200",".267",".089",".133",".000","3.82"
"Aaron Saunders","ALL","1","Sr","Alderson Broaddus","G-MAC","INF","48","45","147","188","30","36","6","0","2","25","48","46","13","20","4","4","0","3","1",".245",".375",".327",".702",".082",".330",".320",".245",".069",".011","22.97"
"Aaron Sigal","ALL","12","Sr","St. Edward's","Heartland","C","10","6","23","28","2","3","1","0","0","4","4","5","2","1","0","2","1","0","1",".130",".231",".174",".405",".043",".167",".184",".179",".071",".000","0.11"
"Aaron Smith","ALL","20","Fr","Winston-Salem","DII Independent","OF","12","1","3","5","5","0","0","0","0","0","0","2","2","0","0","0","0","2","0",".000",".400",".000",".400",".000",".000",".276",".400",".400",".000","0.63"
"Aaron Snyder","ALL","28","Jr","UIndy","GLVC","OF","8","3","15","18","1","1","0","0","0","1","1","3","2","0","0","1","0","1","0",".067",".176",".067",".243",".000",".083",".126",".167",".111",".000","-0.07"
"Aaron Stamper","ALL","15","Sr","Lenoir-Rhyne","SAC","OF","36","23","95","113","18","21","9","0","1","14","33","25","12","6","0","0","0","2","2",".221",".345",".347",".692",".126",".290",".318",".221",".106",".009","12.10"
"Aaron Studdard","ALL","13","Jr","Ouachita Baptist","GAC","PH/3B","46","46","154","205","35","40","7","2","2","17","57","41","45","2","3","1","4","2","6",".260",".426",".370",".796",".110",".333",".364",".200",".220",".010","27.65"
"Aaron Valentine","ALL","6","So","Alderson Broaddus","G-MAC","1B","10","2","12","15","3","3","0","1","0","3","5","2","2","0","0","1","0","1","0",".250",".357",".417",".774",".167",".300",".319",".133",".133",".000","2.22"
"Abe Spencer","ALL","13","Jr","Okla. Christian","Heartland","P","13","5","23","27","3","3","0","0","0","2","3","7","1","3","0","0","0","1","0",".130",".259",".130",".389",".000",".188",".204",".259",".037",".000","1.04"
"Abel Osoria","ALL","7","Jr","Tarleton St.","Lone Star","C","28","19","50","68","10","8","1","0","3","6","18","22","12","6","0","0","0","0","1",".160",".382",".360",".742",".200",".200",".349",".324",".176",".044","8.21"
"Abraham Mow","ALL","28","So","Slippery Rock","PSAC","INF","38","38","131","149","25","36","8","3","6","29","68","36","12","4","2","0","0","0","5",".275",".349",".519",".868",".244",".330",".374",".242",".081",".040","22.04"
"Adam Aleman","ALL","12","Sr","Fresno Pacific","PacWest","UT","35","31","109","127","13","30","5","0","0","9","35","12","8","4","0","6","1","2","1",".275",".347",".321",".668",".046",".309",".291",".094",".063",".000","13.76"
"Adam Bankovich","ALL","35","Jr","Seton Hill","PSAC","C","25","19","44","60","11","12","3","0","1","8","18","15","8","1","0","7","1","2","0",".273",".396",".409",".805",".136",".393",".321",".250",".133",".017","8.03"
"Adam Cox","ALL","7","Sr","McKendree","GLVC","INF","33","26","80","102","18","22","4","2","1","12","33","20","16","4","2","0","3","3","2",".275",".412",".412",".824",".138",".344",".370",".196",".157",".010","14.68"
"Adam Dempski","ALL","6","Fr","Lenoir-Rhyne","SAC","OF","8","0","6","6","0","1","0","0","0","0","1","2","0","0","0","0","0","0","2",".167",".167",".167",".334",".000",".250",".148",".333",".000",".000","-0.67"
"Adam Dennison","ALL","2","Jr","Wheeling Jesuit","MEC","SS","38","33","112","126","14","36","2","1","0","8","40","19","8","4","1","1","0","8","0",".321",".384",".357",".741",".036",".383",".333",".151",".063",".000","19.21"
"Adam Fahsel","ALL","7","Fr","Central Wash.","Great Northwest","rf","14","4","21","27","3","2","1","0","0","3","3","13","2","3","0","1","0","0","1",".095",".269",".143",".412",".048",".250",".211",".481",".074",".000","0.53"
"Adam Gordon","ALL","29","Sr","Cal St. LA","CCAA","OF","43","38","164","184","32","53","12","1","9","43","94","26","14","3","2","1","1","3","3",".323",".383",".573",".956",".250",".336",".409",".141",".076",".049","33.82"
"Adam Hollar","ALL","9","Sr","Cal St. East Bay","CCAA","INF","49","49","173","196","35","57","6","0","0","22","63","20","9","6","4","4","4","8","1",".329",".375",".364",".739",".035",".363",".324",".102",".046",".000","26.78"
"Adam Imwalle","ALL","14","Jr","West Florida","Gulf South","INF","48","43","161","190","29","51","9","1","1","35","65","19","23","2","2","2","2","3","4",".317",".404",".404",".808",".087",".350",".358",".100",".121",".005","27.99"
"Adam LeMaster","ALL","17","Fr","East Stroudsburg","PSAC","P","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","1.000",".000","1.000",".000",".000",".690",".000","1.000",".000","0.34"
"Adam Linkous","ALL","24","Jr","Concord","MEC","OF","48","48","182","201","34","56","9","4","2","28","79","27","12","5","0","2","7","10","2",".308",".367",".434",".801",".126",".353",".351",".134",".060",".010","28.61"
"Adam North","ALL","26","Jr","Southern Ind.","GLVC","C","7","1","8","8","1","1","0","0","0","1","1","3","0","0","0","0","0","0","0",".125",".125",".125",".250",".000",".200",".111",".375",".000",".000","-0.18"
"Adam Overcash","ALL","13","So","Belmont Abbey","Conference Carolinas","OF","24","8","33","40","3","5","1","0","0","8","6","15","6","1","0","0","0","0","2",".152",".300",".182",".482",".030",".278",".242",".375",".150",".000","1.58"
"Adam Plouffe","ALL","35","So","Mars Hill","SAC","OF","32","26","84","110","20","27","7","2","4","25","50","23","23","2","1","0","2","3","3",".321",".473",".595","1.068",".274",".397",".457",".209",".209",".036","22.52"
"Adam Purdy","ALL","21","Jr","Notre Dame (OH)","MEC","OF","49","45","148","158","17","40","7","2","0","14","51","33","7","0","0","3","3","6","2",".270",".303",".345",".648",".074",".348",".282",".209",".044",".000","15.35"
"Adam Sasser","ALL","10","Sr","North Greenville","Conference Carolinas","1B","56","56","205","252","70","67","14","1","21","63","146","49","38","5","4","0","2","4","2",".327",".437",".712","1.149",".385",".331",".480",".194",".151",".083","58.50"
"Adam Stolley","ALL","27","Jr","Truman","GLVC","PR","38","38","119","151","19","28","6","1","6","23","54","41","24","7","0","1","7","8","0",".235",".393",".454",".847",".218",".306",".376",".272",".159",".040","21.81"
"Adam Studer","ALL","39","Jr","Malone","G-MAC","INF","3","0","1","3","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0",".000",".667",".000",".667",".000",".000",".460",".333",".667",".000","0.55"
"Adam Tanoue","ALL","6","Sr","Cal St. San Marcos","CCAA","INF","30","12","57","64","7","14","2","0","0","4","16","10","5","0","1","1","0","1","0",".246",".302",".281",".583",".035",".292",".260",".156",".078",".000","5.75"
