"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"Anthony DiMartino","ALL","22","Fr","Goldey-Beacom","CACC","P","20","13","19","21","2","4","1","1","0","2","7","9","1","1","0","0","0","0","0",".211",".286",".368",".654",".158",".400",".290",".429",".048",".000","2.04"
"Anthony E. Vano","ALL","5","Fr","Molloy","ECC","OF","9","1","6","6","2","1","0","0","0","0","1","2","0","0","0","0","0","0","0",".167",".167",".167",".334",".000",".250",".148",".333",".000",".000","0.03"
"Anthony Elefante","ALL","17","So","Bloomfield","CACC","P","39","26","72","86","11","13","2","0","2","14","21","20","12","1","1","0","1","2","2",".181",".302",".292",".594",".111",".216",".276",".233",".140",".023","6.60"
"Anthony Ellis","ALL","16","So","Paine","SIAC","DH/1B","42","41","141","154","30","50","10","5","0","26","70","18","9","2","2","0","2","5","1",".355",".396",".496",".892",".142",".400",".387",".117",".058",".000","27.78"
"Anthony Fachet","ALL","15","Fr","Mercyhurst","PSAC","ph/lf","5","0","5","7","0","0","0","0","0","0","0","2","2","0","0","0","1","0","0",".000",".286",".000",".286",".000",".000",".197",".286",".286",".000","-0.23"
"Anthony Galindo","ALL","33","So","Holy Names","PacWest","INF","32","27","75","91","8","14","2","0","2","8","22","22","11","2","1","2","0","1","1",".187",".303",".293",".596",".107",".231",".271",".242",".121",".022","7.61"
"Anthony Garbarino","ALL","28","Sr","Merrimack","NE10","INF","43","42","153","173","18","36","1","0","0","10","37","18","9","6","1","4","2","6","0",".235",".302",".242",".544",".007",".265",".248",".104",".052",".000","13.97"
"Anthony Gavin","ALL","8","Jr","Fairmont St.","MEC","OF","11","5","17","20","4","3","0","0","0","0","3","10","3","0","0","0","0","0","1",".176",".300",".176",".476",".000",".429",".237",".500",".150",".000","0.80"
"Anthony Gutierrez","ALL","44","Sr","Barry","Sunshine State","P","15","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Anthony Handel","ALL","8","Jr","Tex. A&M Int'l","Heartland","OF","47","47","166","206","34","50","3","3","0","21","59","18","29","5","1","5","1","7","2",".301",".418",".355",".773",".054",".336",".347",".087",".141",".000","30.97"
"Anthony Hansen","ALL","15","Fr","William Jewell","GLVC","OF","49","49","173","218","29","53","13","2","1","28","73","17","18","20","6","1","4","2","6",".306",".419",".422",".841",".116",".323",".374",".078",".083",".005","32.34"
"Anthony Jacabacci","ALL","14","Fr","Bridgeport","ECC","P","12","4","6","8","1","1","0","0","0","1","1","1","1","1","0","0","1","0","0",".167",".375",".167",".542",".000",".200",".288",".125",".125",".000","0.36"
"Anthony Jackson","ALL","9","So","Lake Erie","G-MAC","OF","42","39","137","156","18","42","5","1","1","24","52","26","17","2","0","0","0","0","1",".307",".391",".380",".771",".073",".373",".349",".167",".109",".006","22.67"
"Anthony Jefferson","ALL","5","Sr","Chowan","Conference Carolinas","OF","32","32","102","125","23","22","4","0","0","9","26","19","18","4","0","1","1","20","2",".216",".355",".255",".610",".039",".265",".291",".152",".144",".000","14.19"
"Anthony Johnson","ALL","17","So","Benedict","SIAC","DH","30","27","81","98","19","29","5","2","3","15","47","14","14","3","0","0","3","8","1",".358",".469",".580","1.049",".222",".406",".455",".143",".143",".031","21.60"
"Anthony Kania","ALL","17","N/A","Saginaw Valley","GLIAC","C","44","37","114","138","14","24","7","0","1","15","34","28","19","3","1","1","0","0","3",".211",".336",".298",".634",".088",".267",".293",".203",".138",".007","12.53"
"Anthony Krokos","ALL","46","Jr","Walsh","G-MAC","P","16","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Anthony Laney","ALL","22","Fr","Davis & Elkins","G-MAC","LF","37","33","108","118","11","21","4","0","1","13","28","26","8","0","1","1","2","3","1",".194",".248",".259",".507",".065",".244",".228",".220",".068",".008","6.25"
"Anthony Lanier","ALL","38","Fr","Augustana (SD)","NSIC","1b","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Anthony Lopez","ALL","9","So","Paine","SIAC","LF","23","10","18","20","0","3","0","0","0","0","3","9","2","0","0","0","0","0","0",".167",".250",".167",".417",".000",".333",".203",".450",".100",".000","0.72"
"Anthony Maisano","ALL","29","Jr","St. Thomas Aquinas","ECC","OF","43","42","166","180","31","46","8","3","1","23","63","23","10","3","1","0","4","15","3",".277",".328",".380",".708",".102",".315",".314",".128",".056",".006","21.82"
"Anthony Molinari","ALL","44","Fr","Queens (NC)","SAC","INF","13","9","34","39","3","7","1","0","0","4","8","15","5","0","0","0","0","2","1",".206",".308",".235",".543",".029",".368",".258",".385",".128",".000","2.83"
"Anthony Moreno","ALL","23","Sr","Cal St. LA","CCAA","INF","29","23","79","97","15","18","4","0","0","11","22","15","13","3","1","1","0","0","4",".228",".354",".278",".632",".051",".277",".296",".155",".134",".000","8.59"
"Anthony Murphy","ALL","23","Sr","Mercy","ECC","OF","49","49","180","210","31","59","6","3","5","42","86","29","21","5","4","0","1","8","6",".328",".405",".478",".883",".150",".360",".386",".138",".100",".024","36.03"
"Anthony Nettles","ALL","4","Jr","Clark Atlanta","SIAC","OF","30","29","69","80","11","11","3","0","0","10","14","12","7","3","1","0","0","6","0",".159",".263",".203",".466",".043",".190",".224",".150",".088",".000","4.90"
"Anthony Orta","ALL","7","Fr","Queens (NC)","SAC","C","35","32","118","135","14","35","4","0","3","16","48","11","14","3","0","0","5","7","5",".297",".385",".407",".792",".110",".308",".356",".081",".104",".022","17.79"
"Anthony Parente","ALL","13","Sr","Caldwell","CACC","INF","35","35","114","139","21","38","8","0","3","26","55","22","17","7","0","1","0","3","3",".333",".449",".482",".931",".149",".393",".412",".158",".122",".022","25.58"
"Anthony Ponce","ALL","19","Fr","Catawba","SAC","C","3","0","2","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.21"
"Anthony Rios","ALL","7","Jr","Lewis","GLVC","C","45","44","162","190","33","49","15","0","2","29","70","22","15","8","3","2","0","3","1",".302",".383",".432",".815",".130",".333",".357",".116",".079",".011","28.87"
"Anthony Rodriguez","ALL","25","Jr","Cal St. San Marcos","CCAA","INF","33","27","86","109","16","22","2","1","0","12","26","17","8","9","0","6","0","1","4",".256",".379",".302",".681",".047",".319",".303",".156",".073",".000","11.49"
"Anthony Rota","ALL","16","Fr","Indiana (PA)","PSAC","dh","18","9","33","39","6","9","0","0","1","5","12","10","4","2","0","0","0","0","0",".273",".385",".364",".749",".091",".364",".344",".256",".103",".026","5.45"
"Anthony Sanabria","ALL","2","So","Lynn","Sunshine State","INF","44","44","153","173","26","43","8","1","6","27","71","38","16","2","1","1","0","2","4",".281",".355",".464",".819",".183",".336",".357",".220",".092",".035","24.78"
"Anthony Santoro","ALL","70","Sr","Felician","CACC","1B","13","7","21","23","3","4","1","0","0","0","5","9","2","0","0","0","0","0","2",".190",".261",".238",".499",".048",".333",".231",".391",".087",".000","0.55"
"Anthony Schiavone","ALL","47","So","Jefferson","CACC","INF","1","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.21"
"Anthony Scotti","ALL","24","Jr","Queens (NY)","ECC","DH","26","23","93","102","16","30","3","0","2","11","39","13","4","3","0","2","1","5","5",".323",".370",".419",".789",".097",".359",".345",".127",".039",".020","13.84"
"Anthony Stehlin","ALL","12","So","Concord","MEC","INF","50","50","169","225","62","63","13","4","1","27","87","15","34","15","3","4","4","16","1",".373",".507",".515","1.022",".142",".397",".442",".067",".151",".004","49.38"
"Anthony Torreullas","ALL","21","Jr","East Stroudsburg","PSAC","UT","49","49","159","204","39","51","18","2","6","40","91","21","32","10","2","1","3","14","5",".321",".458",".572","1.030",".252",".336",".442",".103",".157",".029","41.32"
"Anthony Vaglica","ALL","44","Sr","LIU Post","ECC","C","44","43","154","195","35","51","13","0","3","34","73","18","27","10","4","0","2","3","2",".331",".451",".474",".925",".143",".350",".409",".092",".138",".015","35.55"
"Anthony Venezia","ALL","1","Fr","Cal U (PA)","PSAC","INF","28","14","41","53","3","7","0","0","0","1","7","14","8","0","0","4","0","0","2",".171",".306",".171",".477",".000",".259",".222",".264",".151",".000","2.44"
"Anthony Zambito","ALL","11","So","Southern Conn. St.","NE10","INF","30","28","92","125","28","21","0","0","0","10","21","20","25","3","1","4","2","26","1",".228",".405",".228",".633",".000",".288",".305",".160",".200",".000","17.04"
"Anthony Zellner","ALL","9","Fr","Western Ore.","Great Northwest","C","4","1","7","10","3","1","0","0","0","0","1","1","2","0","0","1","0","0","1",".143",".333",".143",".476",".000",".167",".227",".100",".200",".000","0.29"
"Antone Self","ALL","32","Sr","San Fran. St.","CCAA","INF","34","30","101","120","15","24","4","2","3","15","41","17","11","4","1","3","0","0","4",".238",".333",".406",".739",".168",".256",".320",".142",".092",".025","13.57"
"Antonio Brown","ALL","4","Sr","West Virginia St.","MEC","OF","36","23","80","95","9","28","6","0","0","16","34","12","11","1","3","0","0","0","1",".350",".421",".425",".846",".075",".394",".374",".126",".116",".000","15.79"
"Antonio Falbo","ALL","16","Jr","Erskine","Conference Carolinas","2b","21","14","49","55","9","13","3","0","1","6","19","19","6","0","0","0","0","0","1",".265",".345",".388",".733",".122",".414",".328",".345",".109",".018","6.53"
"Antonio Golden","ALL","38","Jr","Emmanuel (GA)","Conference Carolinas","OF","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".000",".000",".000","-0.10"
"Antonio Sanders","ALL","13","Fr","Paine","SIAC","OF","20","15","46","55","10","9","2","0","0","6","11","20","6","2","0","1","1","7","0",".196",".315",".239",".554",".043",".346",".261",".364",".109",".000","4.83"
"Antonio Vega","ALL","27","Sr","West Va. Wesleyan","MEC","INF","40","38","128","141","25","42","9","1","1","13","56","14","5","4","4","0","2","1","4",".328",".362",".438",".800",".109",".350",".348",".099",".035",".007","19.43"
"Antonio Watts","ALL","0","Jr","Clark Atlanta","SIAC","2B","21","12","47","50","5","9","0","0","0","5","9","15","1","0","2","0","0","1","2",".191",".200",".191",".391",".000",".265",".174",".300",".020",".000","0.88"
"Aram Kumar","ALL","14","Fr","Kentucky St.","SIAC","INF","10","2","10","15","3","1","0","0","0","0","1","4","4","1","0","0","0","0","0",".100",".400",".100",".500",".000",".167",".291",".267",".267",".000","1.25"
"Ariel Diaz","ALL","24","Jr","Barry","Sunshine State","OF","40","28","118","131","23","36","7","1","4","26","57","37","9","2","0","2","2","7","1",".305",".364",".483",".847",".178",".416",".366",".282",".069",".031","20.69"
"Arjun Nichani","ALL","41","Fr","UC San Diego","CCAA","INF","4","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.21"
"Armando Ovalles","ALL","12","Jr","Felician","CACC","C","4","0","2","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0",".000",".333",".000",".333",".000",".000",".240",".333",".000",".000","0.11"
"Armani Moore","ALL","1","Fr","Nyack","CACC","3b","16","2","21","24","4","4","1","0","0","3","5","13","2","1","0","0","1","1","0",".190",".292",".238",".530",".048",".500",".252",".542",".083",".000","1.34"
"Arrison Perez","ALL","6","So","Barry","Sunshine State","2B","35","29","94","110","18","26","5","0","0","12","31","11","11","4","1","0","0","2","0",".277",".373",".330",".703",".053",".310",".323",".100",".100",".000","14.21"
"Arther Xanthos","ALL","43","Fr","Post","CACC","ph","3","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".500",".000",".000","-0.21"
"Artie Santomo","ALL","21","Sr","Kentucky St.","SIAC","2B","26","24","73","88","13","16","2","0","0","8","18","23","10","4","0","1","0","4","1",".219",".345",".247",".592",".027",".320",".282",".261",".114",".000","8.37"
"Arturo Figueroa","ALL","39","So","Jefferson","CACC","UT","49","49","185","220","42","61","8","2","0","30","73","29","27","4","3","1","2","18","1",".330",".420",".395",".815",".065",".384",".365",".132",".123",".000","37.45"
"Asher Corl","ALL","18","Fr","Pitt.-Johnstown","PSAC","OF","32","21","58","69","10","15","3","0","0","9","18","22","10","0","1","0","0","0","1",".259",".362",".310",".672",".052",".405",".310",".319",".145",".000","7.54"
"Asher Smith","ALL","24","Jr","Erskine","Conference Carolinas","ph","26","18","49","68","6","7","4","0","0","4","11","19","9","6","2","2","0","1","2",".143",".333",".224",".557",".082",".219",".269",".279",".132",".000","4.71"
"Ashton Goldring","ALL","24","Fr","Spring Hill","SIAC","OF","7","1","5","5","3","3","0","0","0","2","3","2","0","0","0","0","0","0","0",".600",".600",".600","1.200",".000","1.000",".534",".400",".000",".000","1.60"
"Ashton King","ALL","47","So","King (TN)","Conference Carolinas","P","30","19","61","77","8","12","2","0","1","8","17","25","12","1","3","0","1","4","1",".197",".325",".279",".604",".082",".289",".281",".325",".156",".013","7.00"
"Audy Clary","ALL","3","Jr","Ark.-Monticello","GAC","INF","13","8","22","29","3","4","1","0","0","2","5","4","4","0","1","2","0","0","0",".182",".296",".227",".523",".045",".211",".231",".138",".138",".000","2.01"
"Auggie Francis","ALL","28","Sr","N.M. Highlands","RMAC","CF","50","50","189","229","70","82","11","8","11","41","142","38","24","14","2","0","1","21","0",".434",".524",".751","1.275",".317",".500",".537",".166",".105",".048","69.68"
"Austin Adams","ALL","16","Sr","Belmont Abbey","Conference Carolinas","INF","8","1","7","10","2","0","0","0","0","0","0","6","2","1","0","0","0","0","0",".000",".300",".000",".300",".000",".000",".210",".600",".200",".000","0.19"
"Austin Alderman","ALL","14","Fr","Ill. Springfield","GLVC","OF","47","42","154","186","38","51","8","4","4","33","79","35","16","10","5","1","2","7","2",".331",".416",".513",".929",".182",".392",".400",".188",".086",".022","34.41"
"Austin Allen","ALL","7","Fr","UC-Colo. Springs","RMAC","OF","12","8","33","38","5","9","1","0","0","4","10","9","4","0","1","0","0","0","0",".273",".342",".303",".645",".030",".360",".293",".237",".105",".000","4.18"
"Austin Anderson","ALL","1","Sr","Coker","SAC","OF","3","0","1","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",".000",".500",".000",".500",".000",".000",".345",".500",".500",".000","0.21"
"Austin Baker","ALL","5","Jr","Southern Ark.","GAC","INF","49","49","207","233","32","72","9","0","0","25","81","12","20","2","2","2","5","32","2",".348",".407",".391",".798",".043",".365",".355",".052",".086",".000","39.50"
"Austin Blauser","ALL","24","Jr","Clarion","PSAC","C","12","6","20","26","2","3","0","0","0","4","3","7","4","2","0","0","0","0","0",".150",".346",".150",".496",".000",".231",".264",".269",".154",".000","1.88"
"Austin Braendal","ALL","17","Jr","Seton Hill","PSAC","C","35","30","101","121","21","29","6","0","3","12","44","23","14","6","0","0","0","8","2",".287",".405",".436",".841",".149",".347",".378",".190",".116",".025","19.88"
"Austin Brown","ALL","4","Fr","Cedarville","G-MAC","OF","30","28","92","117","22","16","4","0","0","10","20","27","16","5","1","3","1","10","1",".174",".325",".217",".542",".043",".242",".260",".231",".137",".000","9.61"
"Austin Campbell","ALL","11","Fr","Queens (NC)","SAC","OF","14","10","38","43","2","6","1","0","0","7","7","20","3","1","1","0","0","1","0",".158",".233",".184",".417",".026",".316",".198",".465",".070",".000","1.57"
"Austin Cooper","ALL","22","Sr","Okla. Baptist","GAC","OF","13","0","4","4","4","1","0","0","0","0","1","3","0","0","0","0","0","0","0",".250",".250",".250",".500",".000","1.000",".223",".750",".000",".000","0.23"
"Austin Davis","ALL","33","Jr","Flagler","Peach Belt","OF","35","29","109","130","12","22","5","0","0","13","27","23","20","1","0","0","1","1","3",".202",".331",".248",".579",".046",".256",".277",".177",".154",".000","9.97"
"Austin DeRosa","ALL","6","Fr","Mercy","ECC","SS","23","13","50","58","6","7","0","0","0","3","7","14","6","1","0","1","0","0","2",".140",".246",".140",".386",".000",".194",".191",".241",".103",".000","1.05"
"Austin Eifrid","ALL","2","So","Ashland","GLIAC","SS","63","62","219","293","62","78","9","2","2","39","97","23","29","35","2","8","5","19","3",".356",".498",".443",".941",".087",".388",".416",".078",".099",".007","57.83"
"Austin Farry","ALL","7","Sr","Bentley","NE10","OF","20","16","62","67","7","11","0","0","0","2","11","20","5","0","0","0","0","0","4",".177",".239",".177",".416",".000",".262",".198",".299",".075",".000","1.03"
"Austin Feist","ALL","12","Sr","Saint Martin's","Great Northwest","OF","53","51","173","203","27","40","6","0","6","26","64","26","21","6","3","0","0","2","1",".231",".330",".370",".700",".139",".236",".315",".128",".103",".030","23.89"
"Austin Fennewald","ALL","34","Fr","Drury","GLVC","C","14","4","16","18","1","5","0","0","0","2","5","3","1","1","0","0","0","0","1",".312",".389",".312",".701",".000",".385",".326",".167",".056",".000","2.05"
"Austin Ferguson","ALL","33","Sr","Southeastern Okla.","GAC","1B","43","43","156","194","34","53","13","0","8","40","90","15","29","2","1","6","1","2","1",".340",".447",".577","1.024",".237",".336",".429",".077",".149",".041","39.49"
"Austin Fischer","ALL","2","Sr","Nyack","CACC","INF","48","47","154","206","43","43","4","2","1","35","54","27","40","5","4","3","4","20","4",".279",".433",".351",".784",".071",".323",".358",".131",".194",".005","31.56"
"Austin Garrett","ALL","14","Jr","West Ga.","Gulf South","3B","5","0","3","4","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0",".333",".500",".333",".833",".000",".500",".395",".250",".250",".000","0.71"
"Austin Hathaway","ALL","1","Sr","Charleston (WV)","MEC","OF","60","58","206","238","52","70","15","4","7","44","114","43","27","2","1","2","2","14","1",".340",".419",".553",".972",".214",".401",".418",".181",".113",".029","48.10"
"Austin Holloway","ALL","7","So","Georgia College","Peach Belt","C","40","40","152","170","29","59","5","1","0","25","66","12","12","2","1","3","4","7","4",".388",".437",".434",".871",".046",".418",".382",".071",".071",".000","29.43"
"Austin Huber","ALL","10","So","Fla. Southern","Sunshine State","INF","22","21","72","86","7","15","3","0","2","12","24","28","13","1","0","0","0","0","1",".208",".337",".333",".670",".125",".310",".309",".326",".151",".023","8.82"
"Austin JONES","ALL","2","Fr","Paine","SIAC","ph","6","0","5","6","1","0","0","0","0","0","0","4","0","1","0","0","0","1","0",".000",".167",".000",".167",".000",".000",".120",".667",".000",".000","-0.09"
"Austin Kline","ALL","27","Sr","William Jewell","GLVC","INF","28","23","82","94","8","22","2","0","0","11","24","8","4","4","2","2","2","0","3",".268",".326",".293",".619",".024",".289",".276",".085",".043",".000","7.78"
"Austin Koin","ALL","7","Jr","Saginaw Valley","GLIAC","UT","34","26","90","114","17","24","6","0","0","17","30","19","20","0","0","4","1","1","2",".267",".400",".333",".733",".067",".338",".328",".167",".175",".000","13.88"
"Austin Kordik","ALL","21","Sr","Purdue Northwest","GLIAC","OF","31","29","101","120","17","24","5","2","1","14","36","24","13","1","1","4","4","7","1",".238",".328",".356",".684",".119",".299",".297",".200",".108",".008","12.44"
"Austin Leon","ALL","4","Jr","Tex. A&M-Kingsville","Lone Star","lf","45","41","140","181","45","40","8","2","4","24","64","32","35","3","3","0","4","10","1",".286",".431",".457",".888",".171",".336",".394",".177",".193",".022","31.11"
"Austin McCain","ALL","17","Jr","Okla. Christian","Heartland","SS","10","4","17","19","0","1","0","0","0","0","1","6","1","0","0","1","0","0","0",".059",".111",".059",".170",".000",".091",".083",".316",".053",".000","-0.77"
"Austin Meyer","ALL","22","Sr","King (TN)","Conference Carolinas","OF","37","36","134","161","26","39","8","0","6","22","65","28","18","8","1","0","0","2","3",".291",".404",".485",".889",".194",".327",".392",".174",".112",".037","26.82"
"Austin Moffett","ALL","33","Sr","West Ala.","Gulf South","OF","14","14","42","53","7","11","1","0","0","9","12","9","9","1","1","0","2","9","0",".262",".396",".286",".682",".024",".324",".323",".170",".170",".000","7.29"
"Austin Montas-Burt","ALL","15","Jr","Northwood","GLIAC","INF","8","0","8","9","0","1","0","0","0","0","1","2","1","0","0","0","0","0","0",".125",".222",".125",".347",".000",".167",".176",".222",".111",".000","0.16"
"Austin Mora","ALL","28","So","Hillsdale","G-MAC","P","14","2","3","4","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",".000",".250",".000",".250",".000",".000",".173",".250",".250",".000","0.01"
"Austin Morris","ALL","20","So","Oakland City","DII Independent","2B","34","34","100","126","18","25","2","4","3","14","44","24","18","2","1","5","0","2","0",".250",".372",".440",".812",".190",".297",".345",".190",".143",".024","18.77"
"Austin Mueller","ALL","9","So","Indiana (PA)","PSAC","C","30","24","76","88","10","15","3","0","0","6","18","14","12","0","0","0","0","1","3",".197",".307",".237",".544",".039",".242",".259",".159",".136",".000","5.73"
"Austin Ott","ALL","14","Sr","Cal St. San Marcos","CCAA","OF","44","43","162","196","39","58","12","2","7","49","95","21","24","2","8","0","3","4","6",".358",".429",".586","1.015",".228",".359",".429",".107",".122",".036","38.38"
"Austin Polina","ALL","6","So","Rockhurst","GLVC","INF","14","4","22","24","4","1","0","0","0","1","1","4","2","0","0","0","0","1","0",".045",".125",".045",".170",".000",".056",".095",".167",".083",".000","-0.83"
"Austin Pratt","ALL","33","Sr","Urbana","MEC","INF","27","25","83","89","8","16","2","0","1","6","21","13","6","0","0","0","1","0","3",".193",".247",".253",".500",".060",".217",".229",".146",".067",".011","3.74"
"Austin Purser","ALL","37","Jr","Mars Hill","SAC","C","29","21","81","102","25","29","4","1","4","18","47","12","13","7","1","0","0","4","1",".358",".480",".580","1.060",".222",".379",".460",".118",".127",".039","23.34"
"Austin Rawlins","ALL","29","Jr","Findlay","G-MAC","1B","24","19","63","81","16","17","5","0","3","14","31","16","15","3","0","0","0","0","1",".270",".432",".492",".924",".222",".318",".410",".198",".185",".037","13.99"
"Austin Russ","ALL","30","Sr","Azusa Pacific","PacWest","INF","25","18","72","86","8","19","3","0","2","7","28","17","8","5","1","0","0","0","1",".264",".372",".389",".761",".125",".315",".344",".198",".093",".023","11.51"
"Austin Savary","ALL","14","So","Winona St.","NSIC","UT","48","48","150","170","21","45","9","1","1","27","59","40","14","3","3","0","1","4","4",".300",".365",".393",".758",".093",".393",".337",".235",".082",".006","22.36"
"Austin Stevens","ALL","6","So","Chowan","Conference Carolinas","C","4","4","14","16","1","4","1","0","0","2","5","3","2","0","0","0","0","1","1",".286",".375",".357",".732",".071",".364",".333",".188",".125",".000","1.88"
"Austin Stokes","ALL","4","Jr","Okla. Christian","Heartland","LF","30","16","59","64","8","13","3","1","0","7","18","6","2","0","0","3","0","3","2",".220",".246",".305",".551",".085",".245",".232",".094",".031",".000","4.15"
"Austin Tapella","ALL","9","So","Maryville (MO)","GLVC","INF","18","11","43","52","7","7","3","0","2","6","16","12","9","0","0","0","0","0","2",".163",".308",".372",".680",".209",".172",".308",".231",".173",".038","4.48"
"Austin Tittle","ALL","3","Jr","Lewis","GLVC","INF","45","43","145","181","27","31","4","1","4","26","49","32","27","7","2","0","1","3","3",".214",".359",".338",".697",".124",".243",".322",".177",".149",".022","20.63"
"Austin Torres","ALL","14","Jr","Jefferson","CACC","UT","45","38","140","160","30","41","6","1","10","39","79","41","15","4","1","0","1","1","5",".293",".375",".564",".939",".271",".344",".405",".256",".094",".063","27.04"
"Austin Treadway","ALL","34","So","Mars Hill","SAC","INF","27","22","81","98","14","26","4","2","0","12","34","9","14","3","0","0","3","4","2",".321",".439",".420",".859",".099",".361",".387",".092",".143",".000","15.83"
"Austin Vigliotti","ALL","13","Fr","Indiana (PA)","PSAC","3b","28","27","84","96","11","22","2","0","0","13","24","20","8","3","1","0","2","1","3",".262",".344",".286",".630",".024",".338",".292",".208",".083",".000","8.48"
"Austin Weisz","ALL","7","So","Bemidji St.","NSIC","INF","29","21","59","70","3","8","1","0","0","1","9","18","11","0","0","0","2","3","0",".136",".271",".153",".424",".017",".195",".216",".257",".157",".000","2.63"
"Austin Werner","ALL","18","Sr","McKendree","GLVC","OF","20","7","29","33","8","7","2","0","3","3","18","17","2","2","0","0","1","2","2",".241",".333",".621",".954",".379",".444",".407",".515",".061",".091","4.74"
"Austin Whetzel","ALL","45","So","Salem (WV)","DII Independent","INF","48","42","151","185","35","46","12","2","5","37","77","24","25","8","1","0","2","1","5",".305",".427",".510",".937",".205",".333",".411",".130",".135",".027","31.82"
"Austin White","ALL","16","Sr","Malone","G-MAC","3B","50","50","177","202","23","52","10","0","2","27","68","37","19","2","2","2","0","1","5",".294",".365",".384",".749",".090",".357",".332",".183",".094",".010","25.71"
"Austin Wood","ALL","33","Fr","Drury","GLVC","OF","27","13","50","62","10","15","1","1","0","9","18","9","9","3","0","0","1","1","1",".300",".435",".360",".795",".060",".366",".368",".145",".145",".000","9.28"
"Avery Janning","ALL","18","Jr","Walsh","G-MAC","C","51","51","199","222","35","64","15","2","1","39","86","32","13","4","3","3","0","1","5",".322",".370",".432",".802",".111",".373",".348",".144",".059",".005","31.77"
"Avery Jennings","ALL","3","Jr","Drury","GLVC","INF","9","1","6","7","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0",".000",".143",".000",".143",".000",".000",".103",".286",".000",".000","-0.31"
"Avery Roth","ALL","22","Sr","Albany St. (GA)","SIAC","OF","44","22","77","99","25","14","3","1","1","12","22","28","10","11","0","1","0","0","0",".182",".357",".286",".643",".104",".271",".307",".283",".101",".010","10.15"
"Ayrton Gijsbertha","ALL","0","Sr","Clark Atlanta","SIAC","C","35","35","117","135","14","35","6","1","2","28","49","16","11","2","2","3","3","7","2",".299",".364",".419",".783",".120",".327",".338",".119",".081",".015","18.63"
"B Broomfield","ALL","20","Fr","Okla. Baptist","GAC","ss","1","1","3","6","2","1","0","0","0","1","1","0","2","0","1","0","0","0","0",".333",".500",".333",".833",".000",".250",".378",".000",".333",".000","1.11"
"B Fluke","ALL","9","So","West Va. Wesleyan","MEC","1B","30","17","55","66","7","10","1","0","1","5","14","14","9","0","0","2","2","6","1",".182",".297",".255",".552",".073",".225",".253",".212",".136",".015","4.72"
"B. Harris","ALL","47","N/A","Millersville","PSAC","ph","31","17","67","73","10","13","7","0","0","10","20","23","3","2","1","0","0","1","1",".194",".247",".299",".546",".104",".289",".243",".315",".041",".000","4.25"
"B. Jackson","ALL","16","Fr","Clarion","PSAC","PH","48","47","156","183","25","45","17","0","3","25","71","31","20","5","1","1","2","0","5",".288",".385",".455",".840",".167",".341",".369",".169",".109",".016","25.58"
"B. Lefebvre","ALL","1","N/A","Walsh","G-MAC","ph","15","5","28","32","10","8","2","0","0","2","10","4","4","0","0","0","0","0","0",".286",".375",".357",".732",".071",".333",".333",".125",".125",".000","4.23"
"B. Parrish","ALL","28","N/A","Florida Tech","Sunshine State","RF","41","37","139","165","30","48","7","3","3","31","70","27","24","0","1","1","3","5","2",".345",".439",".504",".943",".158",".409",".411",".164",".145",".018","31.02"
"B. ROBINSON","ALL","14","Fr","LeMoyne-Owen","SIAC","lf","8","8","18","21","1","3","0","0","0","0","3","9","1","2","0","0","0","0","0",".167",".286",".167",".453",".000",".333",".229",".429",".048",".000","1.06"
"B. Williams","ALL","0","N/A","Kentucky St.","SIAC","c","1","1","2","4","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0",".000",".500",".000",".500",".000",".000",".345",".250",".500",".000","0.44"
"Bailey Bordas","ALL","19","Fr","Cal St. Dom. Hills","CCAA","INF","31","26","86","95","12","19","1","0","1","7","23","17","6","2","0","1","1","0","1",".221",".287",".267",".554",".047",".265",".253",".179",".063",".011","6.73"
